,CP,CA,F,C,N,R,PRP,ASM,CON,E,ENG,IDM,DIV
0,0.010290793,115.9481727,0.330663359,38.00239623,0.290555091,1098418.199,2.083064536,0.689805501,0.08368125,3.436374642,0.866930744,0.964364269,0
1,0.008931215,130.1475465,0.413150607,30.41505879,0.350858739,1007858.608,1.934458465,0.660261921,0.060264583,2.845607803,0.936002947,0.971279387,0
2,1.007777778,31314.45882,16331.19916,0.000769447,1.25,342125.6,2.015555556,0.600539843,0.1170625,0.4,1.072731276,0.949843513,0
3,1.093714286,25547.54427,15961.13391,0.000787287,1,297804,1.914,0.709322589,0.079995833,0.5,0.798621032,0.966097541,0
4,1.093714286,30800.67678,19243.09129,0.000653014,1,359039,1.914,0.659238204,0.087547917,0.5,0.910428582,0.962985824,0
5,1.007777778,33242.57488,17336.75533,0.000724818,1.25,363191.2,2.015555556,0.582665472,0.10993125,0.4,1.090165106,0.951422892,0
6,1.007777778,34384.63876,17932.3675,0.000700744,1.25,375668.8,2.015555556,0.567041003,0.124327083,0.4,1.19953143,0.947455967,0
7,1.093714286,40856.82036,25525.78729,0.000492286,1,476262,1.914,0.561712035,0.123422917,0.5,1.207942483,0.947144945,0
8,1.093714286,34075.91718,21289.33691,0.000590249,1,397218,1.914,0.624811142,0.0784375,0.5,0.980753727,0.962724914,0
9,0.009778665,125.8203671,0.321565716,39.07754889,0.27958013,1375680.742,2.113272672,0.636097264,0.095545833,3.571802444,0.993635778,0.960499455,0
10,0.859866667,23132.44643,8242.116659,0.001524608,0.55172414,791087.3721,2.066862244,0.593876679,0.190883333,1.361806083,1.169394374,0.947452172,0
11,0.8056,21599.02632,10361.70915,0.001212734,0.833333333,401360.4,1.830909091,0.680740106,0.11620625,0.8,0.860644852,0.962491428,0
12,0.006849858,168.65129,0.499845732,25.13975652,0.401429146,1294071.458,1.860074003,0.531702908,0.1714625,2.487505802,1.279578713,0.941238852,0
13,0.007428284,148.809827,0.392434311,32.02064561,0.313712491,1644748.026,1.939237962,0.536167152,0.1615125,3.183636325,1.249124128,0.94131318,0
14,0.005986937,182.3301377,0.519623959,24.18287259,0.351392556,1877398.903,1.780481195,0.4438135,0.1869125,2.842391413,1.431576028,0.933401924,0
15,0.008286935,138.5426691,0.456452623,27.52969175,0.336229518,1179167.737,1.883773661,0.631298837,0.1059125,2.96962678,0.93494795,0.959929662,0
16,2.914,125031.9997,215108.9068,5.84E-05,0.666666629,872151.049,1.64840744,0.495168078,0.154666667,0.085786379,1.287613364,0.946685054,0
17,0.007081052,158.4642391,0.440915256,28.49980766,0.312761046,1745131.008,1.88184443,0.521053093,0.1591125,3.193323721,1.254088478,0.947857294,0
18,1.007777778,40170.67108,20949.91433,0.000599812,1.25,438884,2.015555556,0.519654722,0.1618875,0.4,1.256027745,0.944871978,0
19,0.108555525,1415.639362,21.64510977,0.580546836,0.23476249,2579061.933,2.352742907,0.46947384,0.2113375,4.217880157,1.497773201,0.930618111,0
20,0.006794126,163.7994972,0.44582501,28.18594675,0.339381293,1669184.518,1.8759499,0.506123867,0.163820833,2.942832794,1.289997007,0.941130985,0
21,0.007472166,149.5028287,0.442130161,28.42149461,0.308986203,1599087.579,1.873683077,0.556606501,0.127179167,3.232154096,1.150166294,0.952819706,0
22,0.008320908,128.8313082,0.392678822,32.00070721,0.262003751,1653751.133,1.866021409,0.59923804,0.140875,3.811911651,1.07403775,0.953996213,0
23,1.093714286,58096.2055,36296.2994,0.000346206,1,677219,1.914,0.442983463,0.1853125,0.5,1.387096401,0.937079891,0
24,0.006631647,168.5906709,0.454189069,27.66689219,0.365588408,1606161.431,1.851784001,0.490920741,0.144508333,2.731884257,1.334624325,0.948223415,0
25,1.093714286,50284.66407,31415.94544,0.000399988,1,586161,1.914,0.48961091,0.190595833,0.5,1.354141562,0.937479446,0
26,1.093714286,26897.56544,16804.57579,0.000747773,1,313541,1.914,0.688067988,0.076483333,0.5,0.905052508,0.965321327,0
27,0.011920126,103.6436182,0.31361547,40.06817645,3.67313286,72710.13877,2.111548129,0.731271274,0.052302083,0.270604733,0.759305525,0.974258811,0
28,0.705157895,23027.26488,8445.730816,0.001487852,1.333333333,361944,1.914,0.557293394,0.0943875,0.5,1.163779443,0.955830764,0
29,1.093714286,43823.40116,27379.19414,0.000458962,1,510843,1.914,0.528791475,0.118047917,0.5,1.380533015,0.947777252,0
30,1.093714286,8755.964329,5470.393463,0.002297093,1,102067,1.914,0.886827085,0.0169125,0.5,0.341236628,0.991200513,1
31,1.093714286,7522.097997,4699.520711,0.00267389,1,87684,1.914,0.904877206,0.0154375,0.5,0.291075026,0.992012698,1
32,0.018411316,66.93913783,0.170001357,73.91705692,0.145905866,1318905.16,2.350899821,0.802195085,0.0352375,6.843943071,0.557120503,0.983715303,1
33,5.046666667,33056.42857,12685.25715,0.000990599,0.2,1156975,2.523333333,0.766500246,0.040458333,3,0.64877835,0.981117123,1
34,0.014635295,68.3657641,0.252622469,49.74221037,0.101426998,2331272.794,1.790888942,0.762172051,0.109554167,9.847966561,0.676828036,0.972646834,1
35,1.093714286,21166.51669,13224.03452,0.00095024,1,246735,1.914,0.75161328,0.093525,0.5,0.689711527,0.973177934,1
36,0.011888246,98.64177078,0.281161022,44.69325049,0.214430274,1361803.977,2.10508564,0.716563041,0.062085417,4.656920279,0.744603915,0.974825813,1
37,0.011589289,79.59803355,0.273881823,45.88110255,0.141706724,2004110.964,1.823802127,0.721491146,0.0889875,7.048686744,0.746279896,0.973791204,1
38,0.011418335,104.3126268,0.287673893,43.68140559,0.207074302,1594548.413,2.100815269,0.684695831,0.080604167,4.822735402,0.847325124,0.968519029,1
39,0.0111675,83.83400272,0.283909178,44.26063328,0.152024307,1958798.608,1.830802922,0.709887525,0.089570833,6.570252556,0.756762257,0.973179779,1
